Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"PRPF19","Pre-MRNA Processing Factor 19","Protein Coding","37","GC11M060890","2.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF19"
"YARS1","Tyrosyl-TRNA Synthetase 1","Protein Coding","36","GC01M032776","2.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YARS1"
"ATP5F1C","ATP Synthase F1 Subunit Gamma","Protein Coding","32","GC10P007789","2.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5F1C"
"MARCHF5","Membrane Associated Ring-CH-Type Finger 5","Protein Coding","31","GC10P092292","2.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MARCHF5"
"CALCB","Calcitonin Related Polypeptide Beta","Protein Coding","37","GC11P014904","2.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCB"
"RGS14","Regulator Of G Protein Signaling 14","Protein Coding","43","GC05P177357","2.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGS14"
"YWHAG","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Gamma","Protein Coding","49","GC07M076327","2.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAG"
"KCNAB2","Potassium Voltage-Gated Channel Subfamily A Regulatory Beta Subunit 2","Protein Coding","43","GC01P006020","2.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNAB2"
"APBB2","Amyloid Beta Precursor Protein Binding Family B Member 2","Protein Coding","39","GC04M040812","2.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APBB2"
"GNPTAB","N-Acetylglucosamine-1-Phosphate Transferase Subunits Alpha And Beta","Protein Coding","41","GC12M101745","2.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNPTAB"
"TMTC1","Transmembrane O-Mannosyltransferase Targeting Cadherins 1","Protein Coding","36","GC12M029500","2.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMTC1"
"ICAM2","Intercellular Adhesion Molecule 2","Protein Coding","45","GC17M064002","2.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM2"
"HTN3","Histatin 3","Protein Coding","35","GC04P070028","2.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTN3"
"EPS15L1","Epidermal Growth Factor Receptor Pathway Substrate 15 Like 1","Protein Coding","40","GC19M016333","2.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPS15L1"
"FDFT1","Farnesyl-Diphosphate Farnesyltransferase 1","Protein Coding","44","GC08P011795","2.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FDFT1"
"GABRD","Gamma-Aminobutyric Acid Type A Receptor Subunit Delta","Protein Coding","45","GC01P002019","2.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRD"
"CASP14","Caspase 14","Protein Coding","44","GC19P015049","2.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP14"
"CPB2","Carboxypeptidase B2","Protein Coding","44","GC13M046053","2.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPB2"
"SH2D1B","SH2 Domain Containing 1B","Protein Coding","39","GC01M162395","2.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH2D1B"
"MAP3K2","Mitogen-Activated Protein Kinase Kinase Kinase 2","Protein Coding","44","GC02M127298","2.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K2"
"BFSP1","Beaded Filament Structural Protein 1","Protein Coding","38","GC20M017493","2.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BFSP1"
"CLDN8","Claudin 8","Protein Coding","35","GC21M030214","2.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN8"
"MUC6","Mucin 6, Oligomeric Mucus/Gel-Forming","Protein Coding","37","GC11M001002","2.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC6"
"HSD11B1","Hydroxysteroid 11-Beta Dehydrogenase 1","Protein Coding","49","GC01P209686","2.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD11B1"
"APLP2","Amyloid Beta Precursor Like Protein 2","Protein Coding","41","GC11P130069","2.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APLP2"
"SULT1A3","Sulfotransferase Family 1A Member 3","Protein Coding","38","GC16P030199","2.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SULT1A3"
"MFN2","Mitofusin 2","Protein Coding","48","GC01P011980","2.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MFN2"
"AMBN","Ameloblastin","Protein Coding","39","GC04P070593","2.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMBN"
"BCAP31","B Cell Receptor Associated Protein 31","Protein Coding","41","GC0XM153701","2.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCAP31"
"POR","Cytochrome P450 Oxidoreductase","Protein Coding","48","GC07P075899","2.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POR"
"MYLIP","Myosin Regulatory Light Chain Interacting Protein","Protein Coding","39","GC06P016129","2.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYLIP"
"GALNT2","Polypeptide N-Acetylgalactosaminyltransferase 2","Protein Coding","45","GC01P230057","2.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALNT2"
"GABRA4","Gamma-Aminobutyric Acid Type A Receptor Subunit Alpha4","Protein Coding","44","GC04M046836","2.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRA4"
"TOP1MT","DNA Topoisomerase I Mitochondrial","Protein Coding","41","GC08M143304","2.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOP1MT"
"DUSP7","Dual Specificity Phosphatase 7","Protein Coding","40","GC03M052082","2.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP7"
"DUSP12","Dual Specificity Phosphatase 12","Protein Coding","37","GC01P161749","2.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP12"
"MT-TS1","Mitochondrially Encoded TRNA-Ser (UCN) 1","RNA Gene","14","GCMTM007447","2.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TS1"
"CYP2A6","Cytochrome P450 Family 2 Subfamily A Member 6","Protein Coding","47","GC19M040843","2.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2A6"
"MUC3A","Mucin 3A, Cell Surface Associated","Protein Coding","34","GC07P100949","2.79","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC3A"
"ENTPD8","Ectonucleoside Triphosphate Diphosphohydrolase 8","Protein Coding","36","GC09M137434","2.79","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENTPD8"
"PCNA","Proliferating Cell Nuclear Antigen","Protein Coding","51","GC20M005114","2.79","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCNA"
"IL9","Interleukin 9","Protein Coding","43","GC05M135891","2.79","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL9"
"EPDR1","Ependymin Related 1","Protein Coding","36","GC07P037688","2.79","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPDR1"
"PAX3","Paired Box 3","Protein Coding","47","GC02M222199","2.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX3"
"NDUFS3","NADH:Ubiquinone Oxidoreductase Core Subunit S3","Protein Coding","46","GC11P047567","2.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFS3"
"LRRC52","Leucine Rich Repeat Containing 52","Protein Coding","33","GC01P165544","2.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC52"
"SLCO2A1","Solute Carrier Organic Anion Transporter Family Member 2A1","Protein Coding","43","GC03M133932","2.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLCO2A1"
"GSS","Glutathione Synthetase","Protein Coding","47","GC20M034928","2.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSS"
"OAS1","2'-5'-Oligoadenylate Synthetase 1","Protein Coding","45","GC12P112906","2.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OAS1"
"ATP6V1E1","ATPase H+ Transporting V1 Subunit E1","Protein Coding","44","GC22M017592","2.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1E1"
"CHST11","Carbohydrate Sulfotransferase 11","Protein Coding","41","GC12P104455","2.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHST11"
"ADGRL3","Adhesion G Protein-Coupled Receptor L3","Protein Coding","33","GC04P061201","2.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADGRL3"
"MIR1-1","MicroRNA 1-1","RNA Gene","19","GC20P062893","2.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1-1"
"GRM6","Glutamate Metabotropic Receptor 6","Protein Coding","47","GC05M178978","2.76","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRM6"
"MYO5B","Myosin VB","Protein Coding","44","GC18M049822","2.76","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO5B"
"FUT8","Fucosyltransferase 8","Protein Coding","43","GC14P065411","2.76","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FUT8"
"SLC40A1","Solute Carrier Family 40 Member 1","Protein Coding","46","GC02M189560","2.76","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC40A1"
"IL10RB","Interleukin 10 Receptor Subunit Beta","Protein Coding","44","GC21P033266","2.76","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10RB"
"TDP1","Tyrosyl-DNA Phosphodiesterase 1","Protein Coding","44","GC14P089954","2.76","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TDP1"
"RNF19A","Ring Finger Protein 19A, RBR E3 Ubiquitin Protein Ligase","Protein Coding","39","GC08M100257","2.76","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF19A"
"MIR135A1","MicroRNA 135a-1","RNA Gene","20","GC03M052296","2.76","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR135A1"
"ODC1","Ornithine Decarboxylase 1","Protein Coding","47","GC02M010432","2.75","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ODC1"
"PPFIA1","PTPRF Interacting Protein Alpha 1","Protein Coding","36","GC11P070270","2.75","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPFIA1"
"CELSR1","Cadherin EGF LAG Seven-Pass G-Type Receptor 1","Protein Coding","41","GC22M046360","2.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELSR1"
"ERAP1","Endoplasmic Reticulum Aminopeptidase 1","Protein Coding","43","GC05M096760","2.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERAP1"
"MIR1-2","MicroRNA 1-2","RNA Gene","17","GC18M021828","2.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1-2"
"LRRC38","Leucine Rich Repeat Containing 38","Protein Coding","32","GC01M013475","2.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC38"
"LRRC55","Leucine Rich Repeat Containing 55","Protein Coding","32","GC11P057183","2.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC55"
"GABRB3","Gamma-Aminobutyric Acid Type A Receptor Subunit Beta3","Protein Coding","48","GC15M026543","2.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRB3"
"GABRA2","Gamma-Aminobutyric Acid Type A Receptor Subunit Alpha2","Protein Coding","45","GC04M046167","2.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRA2"
"GABRA3","Gamma-Aminobutyric Acid Type A Receptor Subunit Alpha3","Protein Coding","44","GC0XM152166","2.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRA3"
"DUSP10","Dual Specificity Phosphatase 10","Protein Coding","44","GC01M221701","2.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP10"
"ARSG","Arylsulfatase G","Protein Coding","43","GC17P068259","2.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARSG"
"GABRG3","Gamma-Aminobutyric Acid Type A Receptor Subunit Gamma3","Protein Coding","42","GC15P026971","2.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABRG3"
"B4GALT6","Beta-1,4-Galactosyltransferase 6","Protein Coding","40","GC18M031622","2.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=B4GALT6"
"GALNT10","Polypeptide N-Acetylgalactosaminyltransferase 10","Protein Coding","40","GC05P154165","2.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALNT10"
"SAA4","Serum Amyloid A4, Constitutive","Protein Coding","39","GC11M018234","2.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAA4"
"ULBP2","UL16 Binding Protein 2","Protein Coding","39","GC06P149941","2.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ULBP2"
"DUSP8","Dual Specificity Phosphatase 8","Protein Coding","36","GC11M001531","2.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP8"
"GNRHR2","Gonadotropin Releasing Hormone Receptor 2 (Pseudogene)","Pseudogene","31","GC01P145919","2.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNRHR2"
"DHFR","Dihydrofolate Reductase","Protein Coding","49","GC05M080626","2.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHFR"
"PTMA","Prothymosin Alpha","Protein Coding","39","GC02P231707","2.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTMA"
"MLKL","Mixed Lineage Kinase Domain Like Pseudokinase","Protein Coding","41","GC16M074672","2.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLKL"
"PCDHA@","Protocadherin Alpha Cluster, Complex Locus","Protein Coding","16","GC05P143148","2.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCDHA%40"
"SELENOK","Selenoprotein K","Protein Coding","27","GC03M053884","2.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELENOK"
"SPPL3","Signal Peptide Peptidase Like 3","Protein Coding","35","GC12M121051","2.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPPL3"
"MTLN","Mitoregulin","Protein Coding","15","GC02M110213","2.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTLN"
"CREM","CAMP Responsive Element Modulator","Protein Coding","41","GC10P035126","2.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREM"
"RORA","RAR Related Orphan Receptor A","Protein Coding","48","GC15M060488","2.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RORA"
"IL10RA","Interleukin 10 Receptor Subunit Alpha","Protein Coding","45","GC11P117987","2.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10RA"
"RNH1","Ribonuclease/Angiogenin Inhibitor 1","Protein Coding","37","GC11M000530","2.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNH1"
"YPEL2","Yippee Like 2","Protein Coding","33","GC17P059331","2.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YPEL2"
"SULT2B1","Sulfotransferase Family 2B Member 1","Protein Coding","45","GC19P048552","2.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SULT2B1"
"CDC27","Cell Division Cycle 27","Protein Coding","41","GC17M047117","2.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC27"
"TRAF1","TNF Receptor Associated Factor 1","Protein Coding","43","GC09M120902","2.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF1"
"PTCH2","Patched 2","Protein Coding","44","GC01M044819","2.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCH2"
"SUFU","SUFU Negative Regulator Of Hedgehog Signaling","Protein Coding","43","GC10P102503","2.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUFU"
"MT-TF","Mitochondrially Encoded TRNA-Phe (UUU/C)","RNA Gene","14","GCMTP000580","2.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TF"
"MT-TH","Mitochondrially Encoded TRNA-His (CAU/C)","RNA Gene","13","GCMTP012140","2.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TH"
"MT-TS2","Mitochondrially Encoded TRNA-Ser (AGU/C) 2","RNA Gene","13","GCMTP012215","2.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TS2"
"MT-TW","Mitochondrially Encoded TRNA-Trp (UGA/G)","RNA Gene","12","GCMTP005514","2.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TW"
"MT-TQ","Mitochondrially Encoded TRNA-Gln (CAA/G)","RNA Gene","12","GCMTM004331","2.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TQ"
"MCM7","Minichromosome Maintenance Complex Component 7","Protein Coding","44","GC07M100092","2.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM7"
"PLPP3","Phospholipid Phosphatase 3","Protein Coding","35","GC01M056495","2.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLPP3"
"PKN1","Protein Kinase N1","Protein Coding","45","GC19P014433","2.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKN1"
"GUCA2B","Guanylate Cyclase Activator 2B","Protein Coding","39","GC01P042153","2.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUCA2B"
"GNG3","G Protein Subunit Gamma 3","Protein Coding","38","GC11P062707","2.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNG3"
"RNY5","RNA, Ro60-Associated Y5","RNA Gene","12","GC07P148941","2.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNY5"
"ALDH7A1","Aldehyde Dehydrogenase 7 Family Member A1","Protein Coding","47","GC05M126541","2.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDH7A1"
"AMT","Aminomethyltransferase","Protein Coding","45","GC03M049417","2.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMT"
"MYLK4","Myosin Light Chain Kinase Family Member 4","Protein Coding","37","GC06M002663","2.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYLK4"
"ATP1B4","ATPase Na+/K+ Transporting Family Member Beta 4","Protein Coding","33","GC0XP120362","2.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP1B4"
"H19-ICR","H19/IGF2 Imprinting Control Region","Biological Region","5","GC11P001999","2.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19-ICR"
"ARF1","ADP Ribosylation Factor 1","Protein Coding","46","GC01P228082","2.7","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARF1"
"AHNAK2","AHNAK Nucleoprotein 2","Protein Coding","33","GC14M104937","2.7","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHNAK2"
"VRK1","VRK Serine/Threonine Kinase 1","Protein Coding","48","GC14P096797","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VRK1"
"TPK1","Thiamin Pyrophosphokinase 1","Protein Coding","46","GC07M144451","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPK1"
"PCCA","Propionyl-CoA Carboxylase Subunit Alpha","Protein Coding","45","GC13P100089","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCCA"
"MARK4","Microtubule Affinity Regulating Kinase 4","Protein Coding","44","GC19P045079","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MARK4"
"MTRR","5-Methyltetrahydrofolate-Homocysteine Methyltransferase Reductase","Protein Coding","43","GC05P007851","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTRR"
"TK2","Thymidine Kinase 2","Protein Coding","42","GC16M066508","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TK2"
"ATP6V1C2","ATPase H+ Transporting V1 Subunit C2","Protein Coding","41","GC02P010713","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V1C2"
"BHMT","Betaine--Homocysteine S-Methyltransferase","Protein Coding","41","GC05P079111","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BHMT"
"GALK2","Galactokinase 2","Protein Coding","41","GC15P049155","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALK2"
"IGHMBP2","Immunoglobulin Mu DNA Binding Protein 2","Protein Coding","41","GC11P068903","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGHMBP2"
"TNK1","Tyrosine Kinase Non Receptor 1","Protein Coding","41","GC17P007380","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNK1"
"NAE1","NEDD8 Activating Enzyme E1 Subunit 1","Protein Coding","41","GC16M066803","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAE1"
"RECQL4","RecQ Like Helicase 4","Protein Coding","41","GC08M144512","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RECQL4"
"FAR2","Fatty Acyl-CoA Reductase 2","Protein Coding","40","GC12P029145","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAR2"
"ADH6","Alcohol Dehydrogenase 6 (Class V)","Protein Coding","40","GC04M099202","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADH6"
"BMP2K","BMP2 Inducible Kinase","Protein Coding","39","GC04P078776","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP2K"
"PPIP5K2","Diphosphoinositol Pentakisphosphate Kinase 2","Protein Coding","39","GC05P103120","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIP5K2"
"SRPK3","SRSF Protein Kinase 3","Protein Coding","39","GC0XP153776","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRPK3"
"TSSK1B","Testis Specific Serine Kinase 1B","Protein Coding","37","GC05M113432","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSSK1B"
"GTF3A","General Transcription Factor IIIA","Protein Coding","36","GC13P027427","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF3A"
"TSSK2","Testis Specific Serine Kinase 2","Protein Coding","36","GC22P019561","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSSK2"
"TUT1","Terminal Uridylyl Transferase 1, U6 SnRNA-Specific","Protein Coding","35","GC11M063404","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUT1"
"GGT2","Gamma-Glutamyltransferase 2","Protein Coding","31","GC22M021207","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGT2"
"EPHX1","Epoxide Hydrolase 1","Protein Coding","47","GC01P225810","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHX1"
"GPR18","G Protein-Coupled Receptor 18","Protein Coding","39","GC13M099254","2.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR18"
"XPO1","Exportin 1","Protein Coding","45","GC02M061445","2.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XPO1"
"TPD52","Tumor Protein D52","Protein Coding","40","GC08M080034","2.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPD52"
"SMAD7","SMAD Family Member 7","Protein Coding","43","GC18M048919","2.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD7"
"NR1H2","Nuclear Receptor Subfamily 1 Group H Member 2","Protein Coding","48","GC19P050329","2.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1H2"
"TC2N","Tandem C2 Domains, Nuclear","Protein Coding","34","GC14M094058","2.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TC2N"
"PNPLA3","Patatin Like Phospholipase Domain Containing 3","Protein Coding","41","GC22P043923","2.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNPLA3"
"POMT1","Protein O-Mannosyltransferase 1","Protein Coding","45","GC09P131502","2.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POMT1"
"SLC22A3","Solute Carrier Family 22 Member 3","Protein Coding","44","GC06P160348","2.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A3"
"POMT2","Protein O-Mannosyltransferase 2","Protein Coding","43","GC14M077274","2.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POMT2"
"ITGB3BP","Integrin Subunit Beta 3 Binding Protein","Protein Coding","41","GC01M063440","2.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB3BP"
"PXDN","Peroxidasin","Protein Coding","41","GC02M001635","2.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PXDN"
"DUSP14","Dual Specificity Phosphatase 14","Protein Coding","37","GC17P037489","2.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP14"
"UGGT2","UDP-Glucose Glycoprotein Glucosyltransferase 2","Protein Coding","37","GC13M095801","2.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGGT2"
"MLC1","Modulator Of VRAC Current 1","Protein Coding","41","GC22M050059","2.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLC1"
"KCTD17","Potassium Channel Tetramerization Domain Containing 17","Protein Coding","40","GC22P037051","2.67","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCTD17"
"MACF1","Microtubule Actin Crosslinking Factor 1","Protein Coding","41","GC01P039082","2.67","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MACF1"
"SLC22A7","Solute Carrier Family 22 Member 7","Protein Coding","41","GC06P047528","2.67","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A7"
"PPFIA2","PTPRF Interacting Protein Alpha 2","Protein Coding","37","GC12M081257","2.67","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPFIA2"
"ADGRE1","Adhesion G Protein-Coupled Receptor E1","Protein Coding","34","GC19P006887","2.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADGRE1"
"GUCY1A1","Guanylate Cyclase 1 Soluble Subunit Alpha 1","Protein Coding","36","GC04P155667","2.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUCY1A1"
"PHPT1","Phosphohistidine Phosphatase 1","Protein Coding","37","GC09P136848","2.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHPT1"
"CCL14","C-C Motif Chemokine Ligand 14","Protein Coding","36","GC17M036610","2.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL14"
"COPS5","COP9 Signalosome Subunit 5","Protein Coding","42","GC08M067043","2.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COPS5"
"TIAM1","TIAM Rac1 Associated GEF 1","Protein Coding","44","GC21M031118","2.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIAM1"
"EEA1","Early Endosome Antigen 1","Protein Coding","43","GC12M092770","2.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EEA1"
"CHRNA3","Cholinergic Receptor Nicotinic Alpha 3 Subunit","Protein Coding","44","GC15M078594","2.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNA3"
"ITGAX","Integrin Subunit Alpha X","Protein Coding","44","GC16P031570","2.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAX"
"GLRA2","Glycine Receptor Alpha 2","Protein Coding","44","GC0XP014529","2.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLRA2"
"RPS6KA1","Ribosomal Protein S6 Kinase A1","Protein Coding","50","GC01P026540","2.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KA1"
"DKC1","Dyskerin Pseudouridine Synthase 1","Protein Coding","46","GC0XP154762","2.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DKC1"
"AP2A2","Adaptor Related Protein Complex 2 Subunit Alpha 2","Protein Coding","37","GC11P000915","2.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AP2A2"
"NF2","Neurofibromin 2","Protein Coding","48","GC22P029603","2.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF2"
